ts,price,size,side,trade_id
'2025-05-21 19:35:28.927,0.000013167,3480366,buy,114427451
'2025-05-21 19:35:29.054,0.000013167,70000000,buy,114427452
'2025-05-21 19:35:29.054,0.000013168,8758818,buy,114427453
'2025-05-21 19:35:29.054,0.000013168,334861,buy,114427454
'2025-05-21 19:35:29.553,0.000013173,16211891,sell,114427456
'2025-05-21 19:35:30.841,0.000013173,10000000,buy,114427457
'2025-05-21 19:35:33.309,0.000013175,30000000,buy,114427458
'2025-05-21 19:35:33.363,0.000013175,700914,sell,114427459
'2025-05-21 19:35:33.363,0.000013173,150000,sell,114427460
'2025-05-21 19:35:33.363,0.000013172,5149086,sell,114427462
'2025-05-21 19:35:34.849,0.000013174,27101133,buy,114427463
'2025-05-21 19:35:34.850,0.000013174,26580017,buy,114427464
'2025-05-21 19:35:34.850,0.000013174,16793799,buy,114427465
'2025-05-21 19:35:34.850,0.000013174,19525051,buy,114427466
'2025-05-21 19:35:35.788,0.000013175,31796700,buy,114427467
'2025-05-21 19:35:36.263,0.000013173,150000000,buy,114427468
'2025-05-21 19:35:37.268,0.000013177,98150700,buy,114427469
'2025-05-21 19:35:37.268,0.000013177,11849300,buy,114427470
'2025-05-21 19:35:37.305,0.000013179,15985431,sell,114427472
'2025-05-21 19:35:37.305,0.000013179,226460,sell,114427473
'2025-05-21 19:35:38.933,0.000013181,67456545,buy,114427476
'2025-05-21 19:35:44.212,0.000013181,37439950,buy,114427477
'2025-05-21 19:35:46.613,0.000013187,151664,buy,114427478
'2025-05-21 19:35:47.253,0.000013183,687435,sell,114427479
'2025-05-21 19:35:47.253,0.000013182,350000,sell,114427481
'2025-05-21 19:35:47.253,0.000013181,13962565,sell,114427483
'2025-05-21 19:35:47.666,0.000013181,10851754,buy,114427484
'2025-05-21 19:35:48.305,0.000013181,104932858,buy,114427485
'2025-05-21 19:35:49.114,0.000013182,37884600,sell,114427486
'2025-05-21 19:35:49.148,0.00001318,31799263,sell,114427488
'2025-05-21 19:35:49.937,0.000013181,37886194,buy,114427491
'2025-05-21 19:35:50.899,0.000013179,8800000,sell,114427492
'2025-05-21 19:35:52.871,0.000013177,40137043,buy,114427494
'2025-05-21 19:35:53.218,0.000013176,36589556,sell,114427497
'2025-05-21 19:35:53.225,0.000013171,1000000,sell,114427498
'2025-05-21 19:35:59.132,0.00001317,5974234,sell,114427500
'2025-05-21 19:35:59.134,0.000013167,150000,sell,114427501
'2025-05-21 19:35:59.134,0.000013166,150000,sell,114427502
'2025-05-21 19:35:59.134,0.000013165,700000,sell,114427503
'2025-05-21 19:36:01.514,0.00001317,39838088,buy,114427504
'2025-05-21 19:36:01.514,0.00001317,45347941,buy,114427506
'2025-05-21 19:36:02.005,0.000013169,665576,sell,114427508
'2025-05-21 19:36:02.005,0.000013168,334424,sell,114427509
'2025-05-21 19:36:02.729,0.000013173,936744,sell,114427510
'2025-05-21 19:36:02.730,0.000013176,44495231,buy,114427511
'2025-05-21 19:36:06.216,0.000013178,1998178,sell,114427512
'2025-05-21 19:36:06.217,0.000013178,1998178,sell,114427513
'2025-05-21 19:36:06.217,0.000013178,1998178,sell,114427514
'2025-05-21 19:36:06.220,0.000013178,1998178,sell,114427515
'2025-05-21 19:36:07.035,0.000013181,104760811,buy,114427516
'2025-05-21 19:36:07.035,0.000013181,21069156,buy,114427517
'2025-05-21 19:36:07.035,0.000013181,13890936,buy,114427518
'2025-05-21 19:36:07.035,0.000013181,113966325,buy,114427519
'2025-05-21 19:36:07.035,0.000013181,25003685,buy,114427520
'2025-05-21 19:36:07.036,0.000013181,60539396,buy,114427522
'2025-05-21 19:36:07.038,0.000013181,3473953,buy,114427523
'2025-05-21 19:36:07.304,0.000013188,38421999,buy,114427525
'2025-05-21 19:36:07.305,0.000013188,39534546,buy,114427526
'2025-05-21 19:36:07.312,0.000013189,150000,buy,114427527
'2025-05-21 19:36:10.037,0.000013197,1445969,buy,114427529
'2025-05-21 19:36:12.911,0.000013208,31374042,buy,114427530
'2025-05-21 19:36:12.911,0.000013209,6481312,buy,114427531
'2025-05-21 19:36:13.484,0.000013205,5000000,sell,114427532
'2025-05-21 19:36:13.484,0.000013205,2000000,sell,114427533
'2025-05-21 19:36:13.486,0.000013205,104900000,sell,114427534
'2025-05-21 19:36:13.492,0.000013204,309347,sell,114427535
'2025-05-21 19:36:13.755,0.0000132,22438187,sell,114427537
'2025-05-21 19:36:18.003,0.000013209,75705958,buy,114427540
'2025-05-21 19:36:18.556,0.00001321,8297609,sell,114427541
'2025-05-21 19:36:18.556,0.000013207,29502391,sell,114427543
'2025-05-21 19:36:19.141,0.000013206,31374042,buy,114427544
'2025-05-21 19:36:19.141,0.000013208,150000,buy,114427545
'2025-05-21 19:36:19.141,0.000013209,150000,buy,114427546
'2025-05-21 19:36:19.141,0.00001321,6185605,buy,114427547
'2025-05-21 19:36:21.341,0.0000132,309345,sell,114427548
'2025-05-21 19:36:21.341,0.000013199,37490655,sell,114427549
'2025-05-21 19:36:21.374,0.000013199,232009,sell,114427550
'2025-05-21 19:36:21.374,0.000013197,34767991,sell,114427551
'2025-05-21 19:36:21.374,0.000013197,2000000,sell,114427552
'2025-05-21 19:36:22.012,0.000013197,118890,sell,114427553
'2025-05-21 19:36:23.598,0.000013192,45000000,buy,114427554
'2025-05-21 19:36:23.635,0.000013191,36900000,sell,114427555
'2025-05-21 19:36:24.352,0.00001318,300000,sell,114427556
'2025-05-21 19:36:24.876,0.000013176,37970838,sell,114427557
'2025-05-21 19:36:24.925,0.000013176,3132768,buy,114427558
'2025-05-21 19:36:24.925,0.000013177,71524042,buy,114427561
'2025-05-21 19:36:24.925,0.000013178,150000,buy,114427562
'2025-05-21 19:36:24.925,0.000013179,150000,buy,114427563
'2025-05-21 19:36:24.925,0.00001318,22178400,buy,114427572
'2025-05-21 19:36:24.925,0.00001318,79,buy,114427573
'2025-05-21 19:36:24.925,0.000013181,16389421,buy,114427574
'2025-05-21 19:36:24.930,0.000013181,150000,buy,114427575
'2025-05-21 19:36:24.966,0.000013183,8472539,sell,114427576
'2025-05-21 19:36:25.688,0.000013186,10000000,buy,114427577
'2025-05-21 19:36:25.688,0.000013187,150000,buy,114427578
'2025-05-21 19:36:25.688,0.000013188,150000,buy,114427579
'2025-05-21 19:36:25.688,0.000013189,150000,buy,114427580
'2025-05-21 19:36:25.688,0.00001319,27460606,buy,114427581
'2025-05-21 19:36:27.747,0.000013193,1628722,buy,114427582
'2025-05-21 19:36:27.906,0.000013193,42161167,buy,114427586
'2025-05-21 19:36:27.914,0.000013195,7956545,buy,114427587
'2025-05-21 19:36:28.289,0.000013191,18956000,sell,114427588
'2025-05-21 19:36:29.490,0.000013195,37893141,buy,114427589
'2025-05-21 19:36:29.502,0.000013195,37026645,sell,114427592
'2025-05-21 19:36:30.584,0.00001319,50200000,sell,114427594
'2025-05-21 19:36:31.516,0.000013197,7992725,sell,114427595
'2025-05-21 19:36:31.516,0.000013197,304884,sell,114427596
'2025-05-21 19:36:31.707,0.000013198,24684430,sell,114427599
'2025-05-21 19:36:34.370,0.000013198,37884527,buy,114427600
'2025-05-21 19:36:34.541,0.000013197,7914282,sell,114427601
'2025-05-21 19:36:35.317,0.000013193,300000,sell,114427602
'2025-05-21 19:36:35.506,0.00001319,927476,sell,114427603
'2025-05-21 19:36:36.570,0.000013182,16097951,sell,114427604
'2025-05-21 19:36:36.653,0.00001318,5000000,sell,114427605
'2025-05-21 19:36:36.653,0.00001318,5000000,sell,114427606
'2025-05-21 19:36:36.760,0.00001318,120319380,sell,114427607
'2025-05-21 19:36:36.763,0.000013177,150000,sell,114427608
'2025-05-21 19:36:36.763,0.000013176,4850000,sell,114427609
'2025-05-21 19:36:36.763,0.000013176,5000000,sell,114427610
'2025-05-21 19:36:39.216,0.000013182,1601200,buy,114427611
'2025-05-21 19:36:39.305,0.000013181,16211891,sell,114427613
'2025-05-21 19:36:40.133,0.000013181,10000000,buy,114427614
'2025-05-21 19:36:40.312,0.000013185,150000000,buy,114427615
'2025-05-21 19:36:40.312,0.000013186,150000,buy,114427616
'2025-05-21 19:36:40.312,0.000013187,41078548,buy,114427617
'2025-05-21 19:36:40.335,0.000013186,15985439,sell,114427619
'2025-05-21 19:36:40.335,0.000013186,226452,sell,114427620
'2025-05-21 19:36:40.776,0.000013186,1201833,sell,114427621
'2025-05-21 19:36:40.916,0.000013187,10000000,buy,114427622
'2025-05-21 19:36:40.916,0.000013188,150000,buy,114427623
'2025-05-21 19:36:40.916,0.000013189,4808960,buy,114427624
'2025-05-21 19:36:41.882,0.000013192,7914282,sell,114427625
'2025-05-21 19:36:43.594,0.000013188,37913254,buy,114427626
'2025-05-21 19:36:45.867,0.000013189,30000000,buy,114427627
'2025-05-21 19:36:45.867,0.00001319,150000,buy,114427628
'2025-05-21 19:36:45.867,0.000013191,7870959,buy,114427630
'2025-05-21 19:36:45.979,0.000013189,150000000,buy,114427631
'2025-05-21 19:36:45.979,0.00001319,150000,buy,114427632
'2025-05-21 19:36:49.251,0.000013195,112040258,buy,114427635
'2025-05-21 19:36:49.276,0.000013196,46020129,buy,114427636
'2025-05-21 19:36:49.276,0.000013201,6979871,buy,114427637
'2025-05-21 19:36:49.693,0.0000132,10922047,buy,114427638
'2025-05-21 19:36:50.104,0.0000132,556350,sell,114427639
'2025-05-21 19:36:50.104,0.000013199,150000,sell,114427640
'2025-05-21 19:36:50.104,0.000013198,36293650,sell,114427641
'2025-05-21 19:36:50.599,0.000013202,84478512,buy,114427642
'2025-05-21 19:36:53.626,0.000013211,283143,buy,114427643
'2025-05-21 19:36:55.050,0.000013211,10000000,buy,114427644
'2025-05-21 19:36:55.063,0.000013214,211949674,buy,114427645
'2025-05-21 19:36:55.065,0.000013214,105114377,buy,114427646
'2025-05-21 19:36:55.071,0.000013214,167317805,buy,114427649
'2025-05-21 19:36:55.085,0.000013216,150000,buy,114427650
'2025-05-21 19:36:55.085,0.000013217,1331,buy,114427651
'2025-05-21 19:36:55.222,0.000013218,16211891,sell,114427653
'2025-05-21 19:36:56.865,0.000013219,15985475,sell,114427655
'2025-05-21 19:36:56.866,0.000013219,226416,sell,114427656
'2025-05-21 19:36:56.870,0.000013216,2759887,sell,114427657
'2025-05-21 19:36:57.005,0.000013216,6498923,sell,114427658
'2025-05-21 19:36:57.005,0.000013215,31301077,sell,114427659
'2025-05-21 19:36:57.016,0.000013213,16750000,sell,114427661
'2025-05-21 19:36:57.147,0.000013213,5000000,sell,114427662
'2025-05-21 19:36:57.569,0.000013218,150000,buy,114427663
'2025-05-21 19:36:57.788,0.000013218,74438440,sell,114427664
'2025-05-21 19:36:58.531,0.000013213,45405477,sell,114427665
'2025-05-21 19:36:59.274,0.000013213,3896753,buy,114427666
'2025-05-21 19:37:00.158,0.000013216,70000000,buy,114427667
'2025-05-21 19:37:00.158,0.000013217,150000,buy,114427668
'2025-05-21 19:37:00.158,0.000013218,36484895,buy,114427670
'2025-05-21 19:37:00.158,0.000013219,45150000,buy,114427672
'2025-05-21 19:37:00.158,0.00001322,150000,buy,114427673
'2025-05-21 19:37:00.158,0.000013221,150000,buy,114427674
'2025-05-21 19:37:00.162,0.000013222,45000000,buy,114427675
'2025-05-21 19:37:00.162,0.000013223,84653140,buy,114427679
'2025-05-21 19:37:00.173,0.000013222,26795358,sell,114427680
'2025-05-21 19:37:00.202,0.000013223,57292922,buy,114427683
'2025-05-21 19:37:00.402,0.000013223,16211891,sell,114427685
'2025-05-21 19:37:00.407,0.00001322,37000000,sell,114427686
'2025-05-21 19:37:01.592,0.000013221,16211891,sell,114427688
'2025-05-21 19:37:01.628,0.000013221,5600000,buy,114427689
'2025-05-21 19:37:03.352,0.000013216,495600,sell,114427690
'2025-05-21 19:37:03.400,0.000013216,189078638,sell,114427691
'2025-05-21 19:37:03.817,0.000013213,1724034,sell,114427692
'2025-05-21 19:37:04.347,0.00001321,556520,sell,114427693
'2025-05-21 19:37:04.347,0.000013209,150000,sell,114427694
'2025-05-21 19:37:04.347,0.000013208,18193480,sell,114427695
'2025-05-21 19:37:04.493,0.000013212,40000000,buy,114427696
'2025-05-21 19:37:04.507,0.000013215,2997275,sell,114427697
'2025-05-21 19:37:04.509,0.000013215,2997275,sell,114427698
'2025-05-21 19:37:04.509,0.000013215,2997275,sell,114427699
'2025-05-21 19:37:04.511,0.000013215,2997275,sell,114427700
'2025-05-21 19:37:04.512,0.000013215,719709,sell,114427701
'2025-05-21 19:37:05.554,0.000013216,150000000,buy,114427702
'2025-05-21 19:37:05.554,0.000013218,22842260,buy,114427704
'2025-05-21 19:37:05.554,0.000013219,45150001,buy,114427706
'2025-05-21 19:37:05.554,0.00001322,36484896,buy,114427708
'2025-05-21 19:37:05.554,0.000013221,150000,buy,114427709
'2025-05-21 19:37:05.554,0.000013222,45150000,buy,114427711
'2025-05-21 19:37:05.554,0.000013223,36484896,buy,114427713
'2025-05-21 19:37:05.554,0.000013224,146231341,buy,114427719
'2025-05-21 19:37:05.554,0.000013225,45704669,buy,114427722
'2025-05-21 19:37:05.554,0.000013226,140799113,buy,114427726
'2025-05-21 19:37:05.560,0.000013227,150001,buy,114427727
'2025-05-21 19:37:05.560,0.000013228,45150001,buy,114427729
'2025-05-21 19:37:05.560,0.000013229,150001,buy,114427730
'2025-05-21 19:37:05.560,0.00001323,53106545,buy,114427733
'2025-05-21 19:37:05.560,0.000013231,306760492,buy,114427736
'2025-05-21 19:37:05.560,0.000013232,111793908,buy,114427740
'2025-05-21 19:37:05.560,0.000013233,24513080,buy,114427743
'2025-05-21 19:37:05.560,0.000013234,73824034,buy,114427747
'2025-05-21 19:37:05.560,0.000013235,38323258,buy,114427750
'2025-05-21 19:37:05.560,0.000013236,800415118,buy,114427753
'2025-05-21 19:37:05.560,0.000013237,8156976,buy,114427755
'2025-05-21 19:37:05.560,0.000013238,191267220,buy,114427758
'2025-05-21 19:37:05.562,0.000013226,37026600,sell,114427761
'2025-05-21 19:37:05.562,0.000013226,45,sell,114427762
'2025-05-21 19:37:05.563,0.000013226,18800000,buy,114427763
'2025-05-21 19:37:05.564,0.000013234,37781472,buy,114427764
'2025-05-21 19:37:05.564,0.000013237,28415438,buy,114427765
'2025-05-21 19:37:05.565,0.000013233,21966732,sell,114427766
'2025-05-21 19:37:05.565,0.000013233,4581878,sell,114427767
'2025-05-21 19:37:05.565,0.000013232,17384854,sell,114427769
'2025-05-21 19:37:05.565,0.000013232,20928937,sell,114427770
'2025-05-21 19:37:05.565,0.000013231,1051102,sell,114427771
'2025-05-21 19:37:05.567,0.000013227,21980039,sell,114427772
'2025-05-21 19:37:05.569,0.000013236,18800000,buy,114427773
'2025-05-21 19:37:05.572,0.000013239,1189104,buy,114427778
'2025-05-21 19:37:05.572,0.00001324,52810896,buy,114427783
'2025-05-21 19:37:05.574,0.000013233,37802895,sell,114427784
'2025-05-21 19:37:05.576,0.000013233,21980039,sell,114427785
'2025-05-21 19:37:05.576,0.000013233,21980039,sell,114427786
'2025-05-21 19:37:05.578,0.000013233,37802895,sell,114427787
'2025-05-21 19:37:05.578,0.000013233,37802895,sell,114427788
'2025-05-21 19:37:05.580,0.000013233,37802895,sell,114427789
'2025-05-21 19:37:05.581,0.000013233,37802895,sell,114427790
'2025-05-21 19:37:05.586,0.000013234,26795358,sell,114427792
'2025-05-21 19:37:05.597,0.000013237,18870069,buy,114427793
'2025-05-21 19:37:05.598,0.000013237,30629931,buy,114427794
'2025-05-21 19:37:05.598,0.000013238,895652,buy,114427795
'2025-05-21 19:37:05.598,0.000013239,56581014,buy,114427797
'2025-05-21 19:37:05.615,0.000013236,489265,sell,114427798
'2025-05-21 19:37:05.615,0.000013235,21262500,sell,114427799
'2025-05-21 19:37:05.616,0.000013234,102523443,sell,114427801
'2025-05-21 19:37:05.753,0.000013235,54000000,buy,114427804
'2025-05-21 19:37:05.831,0.000013237,13204044,buy,114427805
'2025-05-21 19:37:05.831,0.000013237,44037391,buy,114427806
'2025-05-21 19:37:05.831,0.000013237,77021031,buy,114427807
'2025-05-21 19:37:05.872,0.000013241,347505,sell,114427808
'2025-05-21 19:37:05.883,0.000013241,201785,sell,114427809
'2025-05-21 19:37:06.585,0.000013243,1003900,buy,114427813
'2025-05-21 19:37:06.592,0.000013243,22,buy,114427814
'2025-05-21 19:37:06.599,0.000013244,151011,buy,114427815
'2025-05-21 19:37:06.637,0.000013244,906204,buy,114427816
'2025-05-21 19:37:06.890,0.000013243,1540297,sell,114427818
'2025-05-21 19:37:06.952,0.000013244,463400,buy,114427820
'2025-05-21 19:37:06.952,0.000013244,55,buy,114427821
'2025-05-21 19:37:06.952,0.000013245,392804,buy,114427822
'2025-05-21 19:37:06.952,0.000013246,305645,buy,114427823
'2025-05-21 19:37:06.952,0.000013247,253987,buy,114427824
'2025-05-21 19:37:06.953,0.000013248,205482,buy,114427825
'2025-05-21 19:37:07.265,0.000013247,188637183,sell,114427826
'2025-05-21 19:37:07.265,0.000013246,18800000,sell,114427827
'2025-05-21 19:37:07.385,0.000013246,10000000,buy,114427828
'2025-05-21 19:37:07.387,0.000013249,45731971,buy,114427837
'2025-05-21 19:37:07.390,0.000013249,77745718,buy,114427838
'2025-05-21 19:37:07.390,0.000013249,24005327,buy,114427839
'2025-05-21 19:37:07.394,0.00001325,85922200,buy,114427853
'2025-05-21 19:37:07.395,0.00001325,11198261,buy,114427854
'2025-05-21 19:37:07.395,0.00001325,79648561,buy,114427855
'2025-05-21 19:37:07.399,0.000013253,414365,buy,114427857
'2025-05-21 19:37:07.404,0.000013254,27442395,buy,114427868
'2025-05-21 19:37:08.594,0.000013253,5000000,sell,114427869
'2025-05-21 19:37:08.594,0.000013253,5000000,sell,114427870
'2025-05-21 19:37:09.714,0.000013255,25999161,buy,114427872
'2025-05-21 19:37:09.717,0.000013255,25999100,buy,114427873
'2025-05-21 19:37:09.717,0.000013255,25999100,buy,114427874
'2025-05-21 19:37:09.717,0.000013255,301100,buy,114427875
'2025-05-21 19:37:09.729,0.000013255,22335344,buy,114427876
'2025-05-21 19:37:09.732,0.000013256,301140,buy,114427877
'2025-05-21 19:37:09.814,0.000013256,18000000,sell,114427879
'2025-05-21 19:37:09.814,0.000013256,19026645,sell,114427881
'2025-05-21 19:37:09.814,0.000013255,17973355,sell,114427882
'2025-05-21 19:37:09.824,0.000013254,18000000,sell,114427883
'2025-05-21 19:37:09.856,0.000013254,37700000,sell,114427885
'2025-05-21 19:37:09.861,0.000013254,37713000,sell,114427886
'2025-05-21 19:37:09.862,0.000013254,120424603,sell,114427887
'2025-05-21 19:37:09.867,0.000013253,150000,sell,114427888
'2025-05-21 19:37:09.867,0.000013252,150000,sell,114427889
'2025-05-21 19:37:09.867,0.000013251,4700000,sell,114427890
'2025-05-21 19:37:09.867,0.000013251,5000000,sell,114427891
'2025-05-21 19:37:10.065,0.00001325,45000000,sell,114427892
'2025-05-21 19:37:10.271,0.000013249,18494957,buy,114427893
'2025-05-21 19:37:10.541,0.000013249,31508692,buy,114427894
'2025-05-21 19:37:10.557,0.000013249,13995143,buy,114427895
'2025-05-21 19:37:10.619,0.000013249,9396149,buy,114427896
'2025-05-21 19:37:10.737,0.000013249,69442177,sell,114427900
'2025-05-21 19:37:10.737,0.000013248,95972903,sell,114427904
'2025-05-21 19:37:10.739,0.000013251,1074857,sell,114427905
'2025-05-21 19:37:10.739,0.000013246,45150000,sell,114427907
'2025-05-21 19:37:10.739,0.000013245,45417644,sell,114427909
'2025-05-21 19:37:10.772,0.000013245,37700000,sell,114427910
'2025-05-21 19:37:11.561,0.00001325,27001574,buy,114427911
'2025-05-21 19:37:11.561,0.00001325,22998426,buy,114427912
'2025-05-21 19:37:11.680,0.000013252,16211891,sell,114427914
'2025-05-21 19:37:11.683,0.000013251,289707,sell,114427915
'2025-05-21 19:37:11.683,0.00001325,536277,sell,114427917
'2025-05-21 19:37:11.683,0.000013249,150000,sell,114427918
'2025-05-21 19:37:11.683,0.000013248,36724016,sell,114427920
'2025-05-21 19:37:11.694,0.000013248,4000000,sell,114427921
'2025-05-21 19:37:12.746,0.000013247,13300000,sell,114427923
'2025-05-21 19:37:12.746,0.000013246,45150000,sell,114427925
'2025-05-21 19:37:12.746,0.000013245,188808031,sell,114427927
'2025-05-21 19:37:12.746,0.000013244,150000,sell,114427928
'2025-05-21 19:37:12.763,0.000013241,24406364,sell,114427929
'2025-05-21 19:37:12.782,0.000013241,37700000,sell,114427931
'2025-05-21 19:37:13.079,0.000013246,10000000,buy,114427932
'2025-05-21 19:37:13.092,0.000013245,761250,sell,114427933
'2025-05-21 19:37:13.164,0.000013246,15200000,sell,114427935
'2025-05-21 19:37:13.213,0.000013246,10000000,sell,114427936
'2025-05-21 19:37:13.213,0.000013245,27700000,sell,114427937
'2025-05-21 19:37:13.283,0.000013244,306422,sell,114427938
'2025-05-21 19:37:13.283,0.000013243,552284,sell,114427939
'2025-05-21 19:37:13.515,0.000013249,16211891,sell,114427941
'2025-05-21 19:37:14.901,0.000013245,1190908,sell,114427943
'2025-05-21 19:37:14.926,0.000013245,603200,sell,114427944
'2025-05-21 19:37:16.872,0.000013253,59126074,buy,114427945
'2025-05-21 19:37:16.872,0.000013253,10873926,buy,114427946
'2025-05-21 19:37:17.007,0.000013254,216515,sell,114427947
'2025-05-21 19:37:17.044,0.000013256,36721157,buy,114427948
'2025-05-21 19:37:17.732,0.000013255,148797,sell,114427949
'2025-05-21 19:37:17.735,0.000013252,151714,sell,114427950
'2025-05-21 19:37:17.735,0.000013251,11848286,sell,114427952
'2025-05-21 19:37:18.223,0.000013254,7914282,sell,114427953
'2025-05-21 19:37:18.224,0.000013252,45000000,sell,114427954
'2025-05-21 19:37:18.229,0.00001325,1000000,sell,114427956
'2025-05-21 19:37:18.379,0.00001325,6000000,sell,114427957
'2025-05-21 19:37:18.379,0.00001325,6000000,sell,114427958
'2025-05-21 19:37:18.425,0.000013251,6000000,sell,114427959
'2025-05-21 19:37:18.425,0.000013251,1914282,sell,114427960
'2025-05-21 19:37:18.425,0.00001325,4085718,sell,114427961
'2025-05-21 19:37:19.313,0.000013252,94300000,sell,114427962
'2025-05-21 19:37:19.623,0.00001325,114000000,sell,114427963
'2025-05-21 19:37:19.630,0.000013248,5000000,sell,114427964
'2025-05-21 19:37:19.630,0.000013248,5000000,sell,114427965
'2025-05-21 19:37:19.635,0.000013248,3056317,sell,114427966
'2025-05-21 19:37:19.635,0.000013247,150000,sell,114427967
'2025-05-21 19:37:19.635,0.000013246,150000,sell,114427968
'2025-05-21 19:37:19.635,0.000013245,24643683,sell,114427969
'2025-05-21 19:37:21.856,0.000013247,94500000,buy,114427971
'2025-05-21 19:37:21.856,0.000013248,119500000,buy,114427973
'2025-05-21 19:37:21.856,0.000013249,45000000,buy,114427974
'2025-05-21 19:37:21.876,0.00001325,16211891,sell,114427976
'2025-05-21 19:37:21.876,0.000013249,20814754,sell,114427978
'2025-05-21 19:37:22.052,0.000013246,901764,sell,114427979
